true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,classifier,concept,control,control_val
405088,270010,167530,220228,1062856,0.64,0.59,0.54,0.71,0.2,0.65,0.38,0.51,0.51,0.25,0.08,0.98,1.0,0.05,,commit_hours_better,files_edited_avg_better,language_code,0
456528,65491,116090,424747,1062856,0.49,0.83,0.54,0.8,-0.04,0.52,0.64,0.46,0.53,-0.07,-0.41,0.66,1.0,0.01,,commit_hours_better,ccp_avg_better,language_code,0
199139,191043,373479,299195,1062856,0.37,0.47,0.54,0.35,-0.26,0.4,0.66,0.23,0.5,-0.26,-0.31,1.0,1.0,0.05,,commit_hours_better,same_date_duration_avg_avg_better,language_code,0
353826,299315,218792,190923,1062856,0.61,0.51,0.54,0.62,0.21,0.65,0.42,0.46,0.5,0.23,0.2,1.0,1.0,0.04,,commit_hours_better,commit_period_avg_better,language_code,0
418794,365336,153824,124902,1062856,0.74,0.51,0.54,0.73,0.43,0.77,0.3,0.6,0.5,0.47,0.44,1.0,1.0,0.17,,commit_hours_better,commit_days_avg_better,language_code,0
16116,5254,3585,8379,33334,0.64,0.73,0.59,0.82,0.11,0.66,0.41,0.57,0.54,0.18,-0.13,0.83,0.98,0.04,,message_length_avg_better,refactor_mle_avg_better,language_code,1
16124,3518,3577,10115,33334,0.59,0.79,0.59,0.82,0.04,0.61,0.5,0.54,0.55,0.07,-0.25,0.75,0.98,0.01,,message_length_avg_better,commit_hours_better,language_code,1
19647,14,54,13619,33334,0.59,1.0,0.59,1.0,-0.0,0.59,0.79,0.59,0.59,-0.0,-0.41,0.02,0.98,0.0,,message_length_avg_better,owned_repository_avg_better,language_code,1
15196,4378,4505,9255,33334,0.59,0.73,0.59,0.77,0.05,0.62,0.51,0.52,0.54,0.08,-0.2,0.84,0.98,0.01,,message_length_avg_better,files_edited_avg_better,language_code,1
13986,3373,5715,10260,33334,0.52,0.73,0.59,0.71,-0.02,0.58,0.63,0.47,0.54,-0.04,-0.28,0.85,0.98,0.0,,message_length_avg_better,ccp_avg_better,language_code,1
12848,5667,6853,7966,33334,0.56,0.62,0.59,0.65,0.04,0.62,0.55,0.46,0.52,0.06,-0.11,0.95,0.98,0.0,,message_length_avg_better,same_date_duration_avg_avg_better,language_code,1
16286,3642,3415,9991,33334,0.6,0.79,0.59,0.83,0.05,0.62,0.48,0.55,0.55,0.08,-0.24,0.74,0.98,0.01,,message_length_avg_better,commit_period_avg_better,language_code,1
14986,4444,4715,9189,33334,0.58,0.73,0.59,0.76,0.05,0.62,0.51,0.52,0.54,0.08,-0.2,0.85,0.98,0.01,,message_length_avg_better,commit_days_avg_better,language_code,1
16116,5254,8379,3585,33334,0.64,0.59,0.73,0.66,0.11,0.82,0.61,0.57,0.54,0.18,0.08,0.98,0.83,0.04,,refactor_mle_avg_better,message_length_avg_better,language_code,1
20431,3031,4064,5808,33334,0.7,0.79,0.73,0.83,0.06,0.78,0.57,0.67,0.63,0.11,-0.11,0.75,0.83,0.02,,refactor_mle_avg_better,commit_hours_better,language_code,1
24454,27,41,8812,33334,0.73,1.0,0.73,1.0,0.0,0.74,0.6,0.73,0.73,0.0,-0.26,0.02,0.83,0.0,,refactor_mle_avg_better,owned_repository_avg_better,language_code,1
