cases,developers,a_Is_Company,message_length_avg_better,refactor_mle_avg_better,commit_hours_better,message_length_avg_same,commit_hours_same,owned_repository_avg_better,files_edited_avg_better,ccp_avg_better,same_date_duration_avg_avg_better,commit_period_avg_better,commit_days_avg_better
60,21,false,1,0,1,0,1,1,1,1,1,0,0
63,21,true,0,0,1,0,0,1,1,0,1,0,0
41,22,false,0,0,1,0,1,1,1,1,1,1,0
63,22,true,1,0,1,0,1,1,1,0,1,0,0
38,22,false,1,0,1,0,1,1,0,0,1,0,1
105,22,true,1,0,1,0,0,1,1,1,1,0,0
45,23,false,0,1,1,0,1,1,1,0,1,1,0
56,23,false,0,0,1,0,0,1,0,0,1,0,0
43,23,false,0,0,1,0,1,1,1,0,0,1,0
42,23,false,1,0,1,0,1,1,1,0,0,1,0
37,23,false,0,0,1,0,0,1,0,0,1,1,0
52,24,false,1,0,1,0,1,1,0,0,1,1,1
57,24,false,0,0,1,0,1,1,0,1,0,0,1
89,24,false,0,1,1,0,1,1,1,0,0,1,0
76,24,false,1,0,1,0,1,1,0,1,1,1,0
47,24,false,1,0,1,0,1,1,1,1,0,0,0
38,25,false,1,0,1,0,1,1,0,0,0,1,1
72,25,true,0,0,1,0,1,1,0,0,0,0,1
1129,25,false,1,1,1,1,0,1,1,1,0,0,1
49,25,false,1,1,1,0,1,1,0,0,1,0,1
71,25,false,1,1,1,0,1,1,1,0,1,1,0
232,25,true,0,1,1,0,0,1,1,0,1,1,0
55,25,false,0,1,1,0,1,1,1,0,1,0,0
60,25,false,1,0,1,0,1,1,1,0,0,0,1
50,25,false,1,0,1,0,1,1,1,0,1,0,1
81,26,true,0,0,1,0,1,1,1,0,0,1,0
207,26,true,1,0,1,0,0,1,1,1,1,1,0
159,26,true,0,1,1,0,1,1,0,0,1,0,1
63,26,false,1,0,1,0,1,1,0,1,1,1,1
51,26,false,1,0,1,0,1,1,1,0,0,0,0
52,26,false,0,1,1,0,0,1,0,0,1,1,0
65,26,false,1,0,1,0,1,1,0,1,0,1,1
53,26,false,1,0,1,0,0,1,0,1,1,1,0
45,27,false,0,0,1,0,1,1,0,0,1,0,1
84,27,true,0,0,1,0,1,1,1,0,0,0,0
49,27,false,0,1,1,0,0,1,1,0,1,0,0
61,27,false,0,1,1,0,0,1,0,0,1,0,0
36,27,false,1,0,1,0,0,1,0,0,1,1,0
52,27,false,0,1,1,0,1,1,0,0,1,1,1
71,27,false,1,1,1,0,0,1,0,0,1,0,0
73,27,false,1,1,1,0,1,1,0,0,1,1,1
373,27,true,1,0,1,0,0,1,0,1,1,1,0
57,27,false,1,0,1,0,1,1,1,1,1,0,1
214,27,true,1,0,1,0,1,1,1,1,0,1,0
52,27,false,0,0,1,0,1,1,1,0,0,0,0
215,27,true,0,1,1,0,1,1,0,0,0,0,1
466,27,true,0,1,1,0,0,1,1,0,1,0,0
57,28,true,1,0,1,0,1,1,0,0,1,0,1
170,28,true,1,0,1,0,0,1,1,0,1,1,0
66,28,false,1,0,1,0,0,1,1,0,0,0,0
66,28,false,1,1,1,0,0,1,1,0,1,0,0
48,28,false,1,0,1,0,0,1,0,0,1,0,0
43,28,false,0,0,1,0,1,1,1,0,1,0,0
54,28,false,1,0,1,0,0,1,1,1,0,1,0
81,28,false,0,0,1,0,1,1,1,0,1,0,1
88,29,true,1,0,1,0,1,1,0,0,0,0,1
50,29,false,0,0,1,0,0,1,1,0,0,1,0
73,29,true,0,0,1,0,1,1,1,0,1,0,0
58,29,false,0,0,1,0,1,1,0,1,1,0,1
157,29,true,1,0,1,0,1,1,1,1,0,0,0
188,29,true,0,1,1,0,1,1,1,0,1,1,0
104,29,false,0,0,1,0,1,1,0,1,0,1,1
62,29,false,0,0,1,0,1,1,0,0,1,1,1
93,29,false,0,0,1,0,1,1,0,0,1,0,0
72,29,false,0,1,1,0,1,1,1,0,0,0,1
48,29,true,0,0,1,0,1,1,1,0,1,1,0
87,30,false,1,0,1,0,0,1,0,0,0,0,0
48,30,false,1,1,1,0,1,1,0,0,0,0,1
64,30,false,0,0,1,0,1,1,1,1,0,0,0
78,30,false,0,0,1,0,0,1,1,1,0,1,0
168,30,true,0,0,1,0,1,1,0,0,0,1,1
57,30,false,0,0,1,0,1,1,1,1,0,1,0
397,31,true,0,1,1,0,0,1,0,0,1,1,0
55,31,false,0,1,1,0,0,1,1,0,1,1,0
60,31,false,1,0,1,0,1,1,0,0,1,1,0
63,31,false,0,1,1,0,1,1,0,0,0,1,1
67,31,false,1,0,1,0,1,1,0,0,1,0,0
124,31,true,0,0,1,0,1,1,1,0,0,0,1
308,31,true,1,0,1,0,0,1,1,1,0,1,0
49,32,false,0,0,1,0,1,1,0,0,1,1,0
83,32,false,1,1,1,0,1,1,0,0,1,0,0
5817,32,false,1,1,1,1,0,1,1,1,0,1,1
81,32,true,1,0,1,0,0,1,0,0,1,0,0
251,32,true,0,1,1,0,1,1,0,0,0,1,1
78,32,false,1,0,1,0,0,1,1,0,0,1,0
109,32,false,1,0,1,0,1,1,1,1,0,1,1
64,32,false,1,0,1,0,1,1,1,1,0,0,1
